relative_path,size_bytes,sha256
.zenodo.json,1459,6c0623d5e79d1034a0ac96a813dcd047c2e901d97435279f1baa12ecdeaf35c5
CITATION.cff,753,a4a78209d510453b133834f9a09e758740b11a9617ba2d2eb2ac0d457ca9654e
data/field_project_validation_matrix_sanitized.csv,31819,a9aa00e4815e2b88075cf0c798815f6b1ceda5b0a430ba12ff0a580021f5f733
data/Fig01_plot_data.csv,968,989b31b4d0c7558df663f1a8a6eded518bd65f8fdfde55c7acdd0cbf799e43f9
data/Fig02_plot_data.csv,1996,a809c4ad82a1e8cc67c823760042888512911cc74c1a2cdf2696fc94c3295dc1
data/Fig03_plot_data.csv,1116,f6e8621c969fa459ab1a80b4079fd011f04707ae7e904b78c15fef2daaea990a
data/Fig04_plot_data.csv,4627,d5b7718719865b9b8695598d5cc96ef9eb90f88f47f100281407c1a35f892300
data/Fig05_plot_data.csv,1243,cf523ab8d22a8678edbfbecfec09eb2019715c5166664de822c4d3caa3ae79ac
data/FIGURE_TRACEABILITY.csv,35646,2a700e7bbdec2457f0f8dc7751f6d68cbb36fc6189a3d6c446811ab1c2da492b
data/full_text_verified_primary_core_sanitized.csv,60758,e2b0be3961a063f8d431ea9b134078c22a4a2c123fa47716330bea8744d990a8
data/Table01_review_positioning.csv,1989,e0c7e8e94f56fe314471840a88b3baeb08decf49fae4e5a7ebf1c66dfb9a7536
data/Table02_core_evidence_summary.csv,1165,7bbf5e766e241147e2dc97eb4509fb65c2eed1ec714468095ed86090c4531e49
data/Table03_minimum_validation_packages.csv,6018,3398cbfa2edafd892d63f59c652274bdbbfa3b7ee83d803f08980f91a5600511
data/Table04_field_anchor_implications.csv,3249,87583992385d5b6b3887398a49288772b7178ca47d0a8ee8548835893de9280d
data/TABLE_TRACEABILITY.csv,3423,9cf60853ae3d40d95d06e91a7241e5858b1e310b96a9de31613d5f99e45c7568
data/TableS01_main_claim_eligible_core.csv,49825,5aab76dd92d6e5091dd4750308b0f900a89273eb640f8e03ed07b6bbd470af5c
data/TableS02_decision_evidence_profiles.csv,9100,609d3637f12310b3121bb94c6b3448f2c667e683dc070fe7c3b0d9f6509b16b0
data/TableS03_validation_outcome_profiles.csv,30045,f932949095baadbca30869a1438bcaaa65f4c423c2f258a158b043cad21f0191
data/TableS04_minimum_validation_packages_full.csv,17546,94799485fb3df281c9392fc57aa62f5bbd7a8f5d7e3052916b27d0dc7b30619b
data/TableS05_field_anchor_summary.csv,12322,eff9af3b0eed416ee96f2fe2d596f7b578954161918c86c80e333af2d2a4d249
data/TableS06_figure_traceability.csv,35646,2a700e7bbdec2457f0f8dc7751f6d68cbb36fc6189a3d6c446811ab1c2da492b
docs/DATA_DICTIONARY.md,6182,2a8837e6f24487979f41a6aca20e4e89cc8b53952cfbf0d12b133a8e7d0b4b81
docs/RELEASE_NOTES.md,217,f8d0ba728bab919fd3f3e1472965d33e9d9f24753bc178c6309f5a891df5352c
LICENSE-CODE.txt,583,fbe41526e6f49b89634234df2cdde79f95b509c680add92913cf35b7cf14289a
LICENSE-DATA.txt,191,ceb30d52aa3aaa93cb44d9c813d76034aa1b23657241ca1eb2c49b396eab4ef3
README.md,1853,ccbc3978608f5fe2e89dd2f14b19de67f8ebd6b5f6aefda8a9856132076ca4c8
requirements.txt,43,9bcbc4dea8f2225667a5cfa461b758963b13b0f4c7b48558d6f68158d51165dd
scripts/build_wp8_ijggc_figures_tables.py,47237,58c4c954a2d936b774499956769ba9f53a4cbe96a056190cdc02355d52b56d51
scripts/run_wp8_ijggc_figures_tables.ps1,610,f8a0463f2b6336d777d58d0312c358be2569a112c27a58d6c889196bb45c4c7a
scripts/validate_wp8_ijggc_figures_tables.py,8036,eccb1a51b190cc87e4652d6fdde24d8378bb968f4c29c681703c4bab99fc00b4
