figure_id,visual_element_id,evidence_role,source_file,source_record_ids,source_field,aggregation_rule,denominator,missingness_handling,notes
FigWP9_01,Li2023_GCSMLReview::search_transparency,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,search_transparency,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::corpus_verification,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,corpus_verification,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::decision_framing,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,decision_framing,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Li2023_GCSMLReview::method_evolution,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,method_evolution,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,yes
FigWP9_01,Li2023_GCSMLReview::physical_diagnostics,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,physical_diagnostics,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Li2023_GCSMLReview::uncertainty_calibration,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,uncertainty_calibration,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Li2023_GCSMLReview::transfer_testing,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,transfer_testing,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::field_validation,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,field_validation,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Li2023_GCSMLReview::mrv_auditability,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,mrv_auditability,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::open_traceability,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,open_traceability,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::missingness_aware_coding,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,missingness_aware_coding,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Li2023_GCSMLReview::minimum_validation_packages,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Li2023_GCSMLReview,minimum_validation_packages,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Mao2024_DecisionReview::search_transparency,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,search_transparency,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Mao2024_DecisionReview::corpus_verification,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,corpus_verification,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,unclear
FigWP9_01,Mao2024_DecisionReview::decision_framing,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,decision_framing,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,yes
FigWP9_01,Mao2024_DecisionReview::method_evolution,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,method_evolution,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Mao2024_DecisionReview::physical_diagnostics,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,physical_diagnostics,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Mao2024_DecisionReview::uncertainty_calibration,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,uncertainty_calibration,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
FigWP9_01,Mao2024_DecisionReview::transfer_testing,verified competing-review feature coding,evidence/WP9_1_COMPETING_REVIEW_COMPARISON.csv,Mao2024_DecisionReview,transfer_testing,direct feature code; no numerical aggregation,14 competing reviews plus one separately identified author-synthesis row,unclear remains unclear; not_applicable remains not_applicable; neither is coded no,partial
